# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	4346
#@/user_id	59ea4f9f-a96e-4312-a182-97f9f0abbd26
a 	啊	c=30 d=0.695769 t=4346
jian bu duan 	剪不断	c=1 d=1 t=3044
jian bu jian 	见不见	c=1 d=1 t=1011
jian dan 	简单	c=4 d=0.526496 t=3764
jian dao shei 	见到谁	c=1 d=1 t=1882
jian di 	见底	c=1 d=1 t=666
jian dong le 	剑动了	c=1 d=1 t=3349
jian du 	监督	c=1 d=1 t=2498
jian duo 	见多	c=2 d=1.19205 t=1717
jian hua 	简化	c=1 d=1 t=698
jian jie 	简介	c=1 d=1 t=4240
jian kong 	监控	c=1 d=1 t=2453
jian pan 	键盘	c=1 d=1 t=4078
jian shan chuang 	谏山创	c=1 d=1 t=2511
jian ti 	简体	c=3 d=2.6985 t=4337
jian yi 	建议	c=2 d=1.00063 t=3210
jiang qi 	将棋	c=1 d=1 t=1990
jiang you 	酱油	c=1 d=1 t=2972
jiao 	教	c=1 d=1 t=4126
jiao ben 	脚本	c=2 d=1.00379 t=1987
jiao cheng 	教程	c=2 d=1.00238 t=4343
jiao nang 	胶囊	c=1 d=1 t=1892
jiao shou 	教授	c=1 d=1 t=3047
jiao yu ban 	教育版	c=1 d=1 t=2303
jie ge tu 	截个图	c=1 d=1 t=948
jie jiu shi 	姐就是	c=1 d=1 t=2684
jie ju 	结局	c=1 d=1 t=3553
jie ke 	杰克	c=1 d=1 t=2883
jie kou 	借口	c=1 d=1 t=1710
jie kou 	接口	c=1 d=1 t=1693
jie mian 	界面	c=1 d=1 t=2674
jie shao 	介绍	c=6 d=2.95237 t=4244
jie shou 	接受	c=2 d=1.956 t=3925
jie shu 	结束	c=2 d=1.13946 t=2937
jie zou 	节奏	c=2 d=0.1 t=3962
jin 	近	c=1 d=1 t=589
jin ji de ju ren 	进击的巨人	c=7 d=3.94125 t=1983
jin ji sai 	晋级赛	c=1 d=1 t=3283
jin le 	进了	c=1 d=1 t=3996
jin qu 	进去	c=1 d=1 t=2348
jin tian 	今天	c=1 d=1 t=4199
jin zhan 	近战	c=2 d=1.36788 t=1487
jing chang 	经常	c=1 d=1 t=3182
jing han qing 	敬汉卿	c=1 d=1 t=3907
jing hua 	净化	c=1 d=1 t=1165
jing li 	经历	c=1 d=1 t=849
jing tai 	静态	c=3 d=1.95143 t=4158
jing xiang 	镜像	c=1 d=1 t=2850
jiu 	九	c=1 d=1 t=929
jiu 	就	c=82 d=2.57667 t=4346
jiu ai 	旧爱	c=1 d=1 t=3176
jiu cai 	韭菜	c=1 d=1 t=2910
jiu hai xing 	就还行	c=1 d=0.100259 t=4346
jiu hen 	就很	c=2 d=0.204579 t=4346
jiu mi 	久米	c=1 d=1 t=4185
jiu shi 	就是	c=6 d=0.0850088 t=4346
jiu tong 	酒桶	c=1 d=1 t=1046
jiu zhe 	就这	c=0 d=0.00875977 t=4346
jiu zhe ba 	就这吧	c=1 d=0.0880368 t=4346
ju 	据	c=1 d=1 t=2776
ju ju 	局局	c=2 d=1.27297 t=4346
ju ran 	居然	c=1 d=1 t=1370
ju tou 	剧透	c=1 d=1 t=4066
ju wai ren 	局外人	c=1 d=1 t=2040
juan 	卷	c=2 d=1.7827 t=853
jue de 	觉得	c=3 d=1.04329 t=1633
jue dou 	决斗	c=2 d=1.12542 t=4346
jue dui 	绝对	c=1 d=1 t=3873
ka 	卡	c=3 d=0.315058 t=4346
ka sa 	卡萨	c=1 d=0.273898 t=4346
ka zhu 	卡住	c=1 d=1 t=2588
kai 	开	c=7 d=2.01563 t=4040
kai bu liao 	开不了	c=1 d=1 t=3154
kai ce 	开测	c=1 d=1 t=603
kai che 	开车	c=1 d=1 t=3792
kai fa 	开发	c=1 d=1 t=2811
kai hei 	开黑	c=1 d=1 t=2209
kai ju 	开局	c=1 d=1 t=1041
kai o xia 	开哦下	c=1 d=1 t=1079
kai shi 	开始	c=1 d=1 t=3015
kai xin 	开心	c=2 d=1.15724 t=1756
kan 	看	c=12 d=0.372752 t=4346
kan chu lai 	看出来	c=1 d=1 t=3780
kan de chu lai 	看得出来	c=1 d=1 t=1230
kan kan 	看看	c=1 d=1 t=2806
kan le 	砍了	c=1 d=1 t=4024
kan sha 	看啥	c=1 d=1 t=856
kan wan 	看完	c=1 d=0.196912 t=4346
kan xia 	看下	c=4 d=1.00208 t=4068
kan zhe 	看着	c=1 d=1 t=2781
kang 	抗	c=1 d=0.172045 t=4346
kang bu zhu 	扛不住	c=1 d=1 t=3509
kang ta 	康塔	c=1 d=1 t=1101
kao 	考	c=1 d=1 t=2104
kao 	靠	c=1 d=1 t=633
kao guo 	考过	c=1 d=1 t=3324
kao lv 	考虑	c=1 d=1 t=3340
kao shui mian 	靠水面	c=1 d=1 t=2103
kao yan 	考研	c=1 d=1 t=821
ke 	可	c=2 d=1.0017 t=3678
ke 	嗑	c=1 d=1 t=2382
ke tang 	课堂	c=1 d=1 t=1861
ke xue 	科学	c=1 d=1 t=4070
ke yi 	可以	c=28 d=1.46872 t=4346
ke zhi 	克制	c=1 d=1 t=2747
kong 	控	c=3 d=0.346456 t=4346
kong 	空	c=1 d=1 t=1455
kong jian 	空间	c=1 d=1 t=2292
kong zhi 	控制	c=2 d=1.0147 t=2083
kou 	扣	c=1 d=1 t=1811
kou ling 	口令	c=1 d=1 t=4211
ku 	哭	c=1 d=1 t=2143
ku 	酷	c=3 d=1.99024 t=4100
ku gou 	酷狗	c=1 d=1 t=4322
ku rui 	酷睿	c=1 d=1 t=924
kua ren 	夸人	c=1 d=1 t=2238
kuai 	块	c=1 d=1 t=3573
kuai 	快	c=3 d=1.90062 t=3100
kuai de 	快的	c=1 d=1 t=3055
kuai le 	快乐	c=2 d=1.94649 t=2625
kuai qian 	块钱	c=1 d=1 t=3112
kuang 	矿	c=1 d=1 t=3858
kuang jia 	框架	c=1 d=1 t=2817
kuang shen shuo 	狂神说	c=1 d=1 t=2280
la 	啦	c=1 d=1 t=1134
la 	拉	c=2 d=1.00235 t=2165
la ge si 	拉各斯	c=0 d=0.1 t=2813
la ge si te 	拉各斯特	c=1 d=1 t=2814
la ji 	垃圾	c=7 d=1.47325 t=4346
la xi 	拉稀	c=1 d=1 t=3056
la yi la 	拉一拉	c=1 d=1 t=912
lai 	来	c=15 d=1.02789 t=4346
lai dao 	来到	c=1 d=1 t=1894
lai le 	来了	c=1 d=1 t=1830
lai yong 	来用	c=1 d=1 t=2329
lan 	烂	c=2 d=1.94176 t=2267
lan 	蓝	c=4 d=1.99504 t=4010
lang 	狼	c=2 d=1.91851 t=1400
lang fei 	浪费	c=1 d=1 t=2028
lao 	老	c=6 d=1.48176 t=4346
lao ba 	老八	c=1 d=1 t=1328
lao fan qie 	老番茄	c=1 d=1 t=3172
lao po 	老婆	c=1 d=1 t=726
lao shu 	老鼠	c=2 d=0.763379 t=4346
lao zi 	老子	c=1 d=1 t=2928
le 	乐	c=1 d=1 t=4182
le 	了	c=168 d=7.11425 t=4346
lei le 	累了	c=1 d=1 t=1339
lei mu 	雷姆	c=3 d=1 t=4236
lei si 	类似	c=1 d=1 t=3260
lei si 	蕾丝	c=1 d=1 t=4183
li hai 	厉害	c=1 d=1 t=807
li jie 	理解	c=1 d=1 t=2642
li lun 	理论	c=1 d=1 t=2241
li mian 	里面	c=2 d=1.0002 t=3037
li pu 	离谱	c=1 d=1 t=1351
li shi de chao liu 	历史的潮流	c=0 d=0.1 t=895
li wu 	礼物	c=1 d=1 t=2821
li yi 	利益	c=1 d=1 t=3222
li yi li 	李依李	c=1 d=0.131336 t=4346
li zi 	例子	c=1 d=1 t=3685
lian 	连	c=3 d=0.178173 t=4346
lian jie 	连接	c=1 d=1 t=4213
lian jie 	链接	c=1 d=1 t=4212
lian xiang 	联想	c=1 d=0.0930145 t=4346
liang feng 	凉风	c=1 d=1 t=3227
liang hao 	良好	c=1 d=1 t=1663
liao jie 	了解	c=1 d=1 t=2893
lin 	林	c=1 d=0.132655 t=4346
ling yi ban 	另一半	c=1 d=1 t=2531
liu chang 	流畅	c=1 d=0.201897 t=4346
liu dao 	六道	c=2 d=1.33622 t=3551
liu de 	留得	c=1 d=1 t=1794
liu hu lan 	刘胡兰	c=1 d=1 t=3312
liu lan 	浏览	c=1 d=1 t=3684
liu lan qi 	浏览器	c=3 d=1.00013 t=4103
liu sheng ji 	留声机	c=1 d=1 t=3267
liu yan 	留言	c=1 d=1 t=2293
liu yan ban 	留言板	c=1 d=1 t=2464
long 	龙	c=1 d=1 t=2179
long hun 	龙魂	c=1 d=1 t=2191
lu 	路	c=2 d=0.852144 t=4346
lu ren ju 	路人局	c=1 d=1 t=2211
lu xian 	卢仙	c=2 d=1.88692 t=1923
lu xun 	鲁迅	c=1 d=1 t=1869
luan 	乱	c=2 d=1.0773 t=1807
luan fa 	乱发	c=1 d=1 t=1903
lun 	论	c=1 d=1 t=1628
luo 	罗	c=1 d=1 t=902
luo li 	萝莉	c=2 d=0.182348 t=4346
luo ma 	罗马	c=1 d=1 t=3773
lv 	率	c=1 d=1 t=552
lv zuan 	绿钻	c=1 d=1 t=4319
ma 	吗	c=18 d=1.43433 t=4346
ma 	嘛	c=4 d=0.677057 t=4346
ma 	妈	c=1 d=1 t=4180
ma 	马	c=5 d=3.46549 t=2198
ma hua 	麻花	c=1 d=1 t=1969
ma ma 	妈妈	c=2 d=1.96561 t=2049
ma shang lai 	马上来	c=0 d=0.1 t=895
ma si ke 	马斯克	c=2 d=1.93707 t=2951
ma zui ji 	麻醉剂	c=1 d=1 t=1363
ma zui qiang 	麻醉枪	c=2 d=1.94649 t=1376
mai 	买	c=5 d=2.01597 t=4094
mai 	卖	c=6 d=1.26711 t=3099
mai yi 	买一	c=0 d=0.1 t=3287
mai yi xia 	买一下	c=1 d=1 t=3288
man 	慢	c=2 d=1.00061 t=2565
man hua 	漫画	c=11 d=1.01914 t=3791
man man 	慢慢	c=1 d=1 t=1601
man xie 	慢些	c=1 d=1 t=1103
man zai 	满载	c=1 d=1 t=3870
mao 	帽	c=1 d=1.1 t=874
mao 	毛	c=2 d=1.19205 t=4169
mao 	猫	c=4 d=0.501576 t=4346
mao bo li 	毛玻璃	c=2 d=1.99501 t=4163
mao pao 	冒泡	c=1 d=1 t=3576
mao qian 	毛钱	c=1 d=1 t=3854
mao sha 	猫砂	c=1 d=1 t=1107
mao zi 	帽子	c=1 d=1 t=878
me 	么	c=2 d=1 t=3512
mei 	没	c=59 d=3.79091 t=4346
mei bi yao 	没必要	c=2 d=0.203926 t=4346
mei bo 	每波	c=1 d=0.232236 t=4346
mei ci 	每次	c=1 d=1 t=1065
mei guan xi 	没关系	c=1 d=1 t=3471
mei guo 	美国	c=1 d=1 t=2331
mei guo ren 	美国人	c=1 d=1 t=2214
mei hao 	美好	c=5 d=1.06198 t=3207
mei hao shi jie 	美好世界	c=2 d=1.99501 t=1056
mei hua 	美化	c=4 d=2.28279 t=2678
mei mao 	没毛	c=1 d=1 t=3868
mei ren 	没人	c=2 d=1.39455 t=2960
mei sha 	没啥	c=2 d=0.927743 t=4346
mei sha yong 	没啥用	c=1 d=1 t=3188
mei shi 	没事	c=3 d=1.45965 t=4346
mei ting guo 	没听过	c=0 d=0.1 t=3771
mei yi si 	没意思	c=2 d=1.00103 t=3147
mei yong 	没用	c=5 d=1.01803 t=4336
mei you 	没有	c=9 d=0.647692 t=4346
mei zu 	魅族	c=1 d=1 t=2068
men 	们	c=1 d=0.1 t=4228
men huang dao 	们黄岛	c=1 d=1 t=4229
meng huan dao 	梦幻岛	c=5 d=1.98657 t=4230
meng le 	蒙了	c=1 d=1 t=1083
mi ha you 	米哈游	c=1 d=1 t=2064
mian 	面	c=0 d=0.0118245 t=4346
mian ban 	面板	c=1 d=1 t=3554
mian fei 	免费	c=4 d=1.43778 t=4301
miao 	秒	c=5 d=1.98003 t=3994
ming 	明	c=1 d=0.10435 t=4346
ming ling 	命令	c=1 d=1 t=2572
ming nian 	明年	c=1 d=1 t=2571
ming xian 	明显	c=1 d=1 t=2798
mo 	莫	c=1 d=1 t=606
mo 	魔	c=1 d=1 t=3265
mo de 	摩的	c=1 d=1 t=605
mo hu yuan 	模糊圆	c=1 d=0.106992 t=4346
mo ming qi miao 	莫名其妙	c=1 d=1 t=1047
mo ni 	模拟	c=1 d=1 t=1191
mo nv 	魔女	c=1 d=1 t=727
mo shi 	模式	c=2 d=1 t=3702
mou 	某	c=1 d=1 t=4286
mu 	母	c=4 d=1.00025 t=3928
mu ren 	暮刃	c=5 d=2.98935 t=3719
mu yu 	木鱼	c=1 d=1 t=2979
na 	纳	c=1 d=1 t=1155
na 	那	c=26 d=1.60307 t=4346
na er 	纳尔	c=1 d=0.116484 t=4346
na ge 	拿个	c=3 d=1.17924 t=3118
na jiu 	那就	c=1 d=1 t=2604
na xie 	拿些	c=1 d=1 t=3218
nan 	男	c=1 d=1 t=1914
nan 	难	c=1 d=1 t=886
nan dao 	难道	c=1 d=1 t=3918
nan jing 	南京	c=0 d=0.1 t=980
nan ren 	男人	c=1 d=1 t=3687
nao yi xue 	脑溢血	c=1 d=0.257947 t=4346
nao zi 	脑子	c=1 d=1 t=2929
nei 	内	c=2 d=0.245367 t=4346
nei he 	内核	c=1 d=1 t=4282
nen 	嫩	c=1 d=1 t=3563
neng 	能	c=15 d=0.383882 t=4346
ni 	你	c=121 d=6.95357 t=4346
ni feng 	逆风	c=1 d=1 t=2595
ni hong 	霓虹	c=1 d=1 t=3741
ni ma 	你妈	c=1 d=1 t=2088
ni men 	你们	c=16 d=0.071719 t=4346
nian 	年	c=11 d=1.95694 t=4346
nian ya 	碾压	c=1 d=0.33454 t=4346
niang 	娘	c=1 d=1 t=4175
niao 	鸟	c=2 d=1.98511 t=1325
niu 	牛	c=5 d=1.00416 t=4346
nong 	弄	c=1 d=1 t=1413
nuo ji ya 	诺基亚	c=1 d=1 t=1626
nuo ke 	诺克	c=1 d=1 t=1835
nuo man 	诺曼	c=1 d=1 t=2984
nv 	女	c=1 d=1 t=4114
nv jing 	女警	c=1 d=1 t=1852
nv quan 	女权	c=2 d=0.491644 t=4346
nv ren 	女人	c=1 d=1 t=2663
nv wang 	女王	c=1 d=1 t=2685
nv yao 	女妖	c=1 d=0.130069 t=4346
nv yao mian sa 	女妖面撒	c=1 d=0.118837 t=4346
o 	哦	c=5 d=1.00018 t=3383
pa 	怕	c=2 d=1.00005 t=4113
pai 	拍	c=3 d=0.316087 t=4346
pai dui 	排队	c=1 d=1 t=3815
pai wei 	排位	c=1 d=1 t=2691
pan 	盘	c=1 d=0.123687 t=4346
pang le 	胖了	c=1 d=1 t=1231
pao 	跑	c=4 d=1.10408 t=2505
pao bu 	跑步	c=1 d=1 t=2106
pao lu 	跑路	c=1 d=1 t=3212
pao man 	跑满	c=1 d=1 t=3060
pei he 	配合	c=2 d=1.70822 t=2277
pei zhi 	配置	c=4 d=2.91355 t=2299
peng 	碰	c=1 d=1 t=1489
pi 	批	c=1 d=1 t=720
pi ceng 	皮层	c=2 d=1.00058 t=3804
pi cheng 	批成	c=1 d=0.516851 t=4346
pi fu 	皮肤	c=2 d=1.96079 t=1754
pian 	骗	c=1 d=1 t=1354
pian yi 	便宜	c=2 d=1.46533 t=3206
piao liang 	漂亮	c=2 d=1.956 t=4159
pin yin 	拼音	c=2 d=1.00752 t=3315
ping 	平	c=2 d=1.0008 t=2713
ping guo 	苹果	c=2 d=0.438235 t=4346
ping mu 	屏幕	c=1 d=1 t=2069
ping tai 	平台	c=2 d=1 t=3606
po 	破	c=1 d=1 t=3951
po bai 	破败	c=2 d=1.31783 t=2881
po bai zhi wang 	破败之王	c=2 d=1.63763 t=2699
qi 	棋	c=1 d=0.384812 t=4346
qi che ren 	汽车人	c=1 d=1 t=1194
qi dan wu yu 	奇蛋物语	c=1 d=1 t=3039
qi ding shen xian 	气定神闲	c=1 d=0.140858 t=4346
qi dong 	启动	c=1 d=1 t=3819
qi shi ye 	起始页	c=3 d=2.38837 t=4248
qi shou 	起手	c=1 d=1 t=1732
qi ta 	其他	c=7 d=0.752446 t=4346
qian 	前	c=2 d=1 t=4304
qian 	欠	c=1 d=1 t=683
qian 	钱	c=4 d=1.00001 t=4231
qian duan 	前端	c=3 d=1.99018 t=4073
qian hou 	前后	c=0 d=0.1 t=2814
qian hou duan 	前后端	c=2 d=1.02004 t=3597
qian qi 	前期	c=3 d=0.546074 t=4346
qian zhi 	前置	c=1 d=1 t=4142
qiang 	墙	c=1 d=1 t=3753
qiang 	强	c=3 d=0.65377 t=4346
qiang 	枪	c=1 d=1 t=3568
qiang jian 	强奸	c=1 d=1 t=3332
qiang zhe 	抢着	c=1 d=1 t=2911
qiao 	巧	c=1 d=1 t=1272
qie 	切	c=1 d=1 t=2376
qing shang 	情商	c=3 d=1.08834 t=3149
qing song 	轻松	c=1 d=1 t=1213
qing wei er 	情味儿	c=2 d=1.99501 t=4122
qiong 	穷	c=1 d=1 t=2401
qu 	去	c=6 d=1.32876 t=2540
qu ba 	去吧	c=2 d=1.00005 t=3763
qu bie 	区别	c=3 d=1.06425 t=4313
qu bu liao 	去不了	c=1 d=1 t=790
qu dong qi 	驱动器	c=1 d=1 t=2665
qu le 	去了	c=0 d=0.1 t=2531
qu nian 	去年	c=2 d=0.0837432 t=4346
qu se 	取色	c=2 d=0.115325 t=4346
qu xian 	曲线	c=1 d=1 t=3166
qu xiao 	取消	c=1 d=1 t=3167
quan 	全	c=9 d=1.65925 t=4346
quan guo 	全国	c=1 d=1 t=1171
quan shi jie 	全世界	c=1 d=1 t=1836
quan zhan 	全栈	c=1 d=1 t=4342
quan zi dong 	全自动	c=1 d=1 t=3018
que 	却	c=1 d=1 t=4047
que shi 	确实	c=3 d=0.20089 t=4346
qun 	群	c=1 d=1 t=3036
ran cha 	燃茶	c=1 d=1 t=1326
ran hou 	然后	c=4 d=0.549302 t=4346
rang 	让	c=3 d=0.609879 t=4346
re ping 	热评	c=2 d=1.98511 t=3936
ren 	人	c=19 d=0.815301 t=4346
ren ci 	仁慈	c=1 d=1 t=1379
ren he 	任何	c=1 d=1 t=620
ren ji 	人机	c=1 d=1 t=2965
ren ji 	人际	c=1 d=1 t=2964
ren lei 	人类	c=1 d=1 t=3335
ren mei 	人没	c=1 d=1 t=2695
ren shang ren 	人上人	c=1 d=1 t=3550
ren shi 	认识	c=1 d=0.355226 t=4346
ren tou 	人头	c=1 d=1 t=1465
ren yao 	人妖	c=1 d=1 t=3714
ri 	日	c=2 d=1.01691 t=2662
ri ru 	日入	c=1 d=1 t=4168
ri yu 	日语	c=2 d=1.00153 t=3534
rong guang 	荣光	c=1 d=0.436049 t=4346
rong yi 	容易	c=1 d=1 t=2183
rou 	肉	c=3 d=1.08359 t=1917
ru 	如	c=2 d=0.960789 t=4346
ru guo 	如果	c=2 d=1 t=3366
ru he 	如何	c=8 d=1.65896 t=4346
ru tu 	入土	c=1 d=1 t=1737
ruan jian 	软件	c=1 d=1 t=3586
ruo zhi 	弱智	c=2 d=1.00399 t=2792
sa 	撒	c=5 d=1.00885 t=4346
sa mi la 	萨米拉	c=1 d=1 t=4029
sai 	赛	c=0 d=0.1 t=4052
sai er da 	塞尔达	c=1 d=1 t=4287
sai na 	塞纳	c=2 d=1.00328 t=4016
san dan 	三单	c=1 d=1 t=1621
san se 	三色	c=1 d=1 t=4299
san shi 	三十	c=1 d=1 t=3689
san xiang 	三项	c=1 d=1 t=2380
se 	色	c=1 d=1 t=719
sha 	傻	c=1 d=1 t=1930
sha 	啥	c=1 d=1 t=3143
sha 	杀	c=5 d=0.822835 t=4346
sha diao 	沙雕	c=1 d=0.100373 t=4073
sha mo 	沙漠	c=1 d=1 t=794
shan chu 	删除	c=2 d=1.98511 t=866
shan le 	删了	c=2 d=1.57695 t=3934
shan xian 	闪现	c=1 d=1 t=1277
shang 	上	c=16 d=2.48569 t=4346
shang cheng 	上乘	c=0 d=0.1 t=1963
shang cheng zuo pin 	上乘作品	c=1 d=1 t=1964
shang jin 	赏金	c=1 d=1 t=1461
shang mian 	上面	c=2 d=1.28938 t=4190
shao 	少	c=3 d=1.12373 t=3902
shao jie 	绍介	c=1 d=1 t=737
she ji 	设计	c=2 d=1 t=4104
she zhi 	设置	c=1 d=1 t=4076
shei 	谁	c=1 d=1 t=1314
shen 	神	c=9 d=0.976939 t=4346
shen du xue xi 	深度学习	c=1 d=1 t=828
shen fen zheng 	身份证	c=1 d=1 t=731
shen me 	什么	c=24 d=1.41288 t=4346
shen niu 	神牛	c=1 d=1 t=1809
shen se 	深色	c=1 d=1 t=1203
shen zhi 	甚至	c=2 d=0.527292 t=4346
shen zuo 	神作	c=1 d=1 t=3001
sheng 	圣	c=1 d=0.386741 t=4346
sheng cheng shu 	生成树	c=1 d=1 t=1032
sheng huo 	生活	c=3 d=0.264477 t=4346
sheng ji 	升级	c=1 d=1 t=4283
sheng lv 	胜率	c=7 d=3.03308 t=3481
sheng qiang you xia 	圣枪游侠	c=1 d=1 t=1902
sheng xiao 	生效	c=1 d=1 t=1366
sheng yin 	声音	c=1 d=0.12493 t=4346
shi 	十	c=1 d=1 t=4181
shi 	是	c=50 d=3.39121 t=4346
shi bu shi 	是不是	c=4 d=2.01018 t=2831
shi da da suo duan 	是大大缩短	c=1 d=0.0706512 t=4346
shi guang ji 	时光机	c=10 d=7.73019 t=4223
shi ji er shi 	十几二十	c=1 d=1 t=919
shi jian 	时间	c=5 d=1.05072 t=2756
shi jie 	世界	c=3 d=1.61374 t=2492
shi jin 	使劲	c=1 d=1 t=1653
shi juan 	试卷	c=1 d=1 t=1235
shi pin 	视频	c=2 d=0.12307 t=4346
shi ren 	诗人	c=1 d=1 t=3648
shi shu 	实属	c=2 d=1.55156 t=2460
shi tai 	时态	c=1 d=1 t=1994
shi tou 	石头	c=4 d=1.07057 t=2546
shi tou yu 	石头鱼	c=1 d=1 t=1606
shi wu 	失误	c=1 d=1 t=2746
shi xia 	试下	c=2 d=1.00014 t=3111
shi xia shui 	试下水	c=1 d=1 t=3102
shi ye 	视野	c=1 d=1 t=3307
shi yi xia 	试一下	c=1 d=1 t=2603
shi ying 	适应	c=1 d=1 t=958
shi yong 	使用	c=1 d=1 t=2592
shi yong 	试用	c=2 d=1.92312 t=3119
shi yong fang fa 	食用方法	c=1 d=1 t=2288
shi zhan 	实战	c=1 d=1 t=2306
shi zhong 	时钟	c=1 d=1 t=1312
shou 	收	c=1 d=1 t=1786
shou biao 	手表	c=1 d=1 t=2688
shou bing 	手柄	c=1 d=1 t=4077
shou dong 	手动	c=1 d=1 t=2583
shou fu 	首富	c=2 d=1.99005 t=2906
shou hou 	售后	c=1 d=1 t=3187
shou ji 	手机	c=5 d=2.00538 t=4238
shou niang 	兽娘	c=1 d=1 t=3003
shou yi 	收益	c=2 d=1.00001 t=3842
shu 	输	c=4 d=1.00155 t=3485
shu bu liao 	输不了	c=1 d=1 t=2639
shu chu 	输出	c=6 d=0.19205 t=4346
shu fu 	舒服	c=1 d=1 t=3191
shu ju 	数据	c=1 d=1 t=2958
shu qian 	书签	c=1 d=1 t=3668
shu ru fa 	输入法	c=9 d=0.293415 t=4346
shu shu 	叔叔	c=1 d=1 t=2990
shua 	刷	c=3 d=0.183599 t=4346
shua xin 	刷新	c=2 d=1.0032 t=3297
shuai 	帅	c=1 d=1 t=4060
shuai 	甩	c=4 d=2.82793 t=3462
shuai guo 	帅锅	c=1 d=1 t=1475
shuang 	爽	c=1 d=1 t=1242
shuang chong 	双重	c=1 d=1 t=2706
shuang pai 	双牌	c=1 d=1 t=2406
shuang yu 	双语	c=1 d=1 t=3571
shuang zhao 	双召	c=1 d=1 t=4006
shui 	水	c=1 d=1 t=2221
shui ping 	水平	c=1 d=1 t=1867
shun feng 	顺风	c=1 d=1 t=4012
shuo 	说	c=4 d=1.00002 t=3236
shuo hua 	说话	c=1 d=1 t=2047
si 	四	c=1 d=1 t=681
si 	死	c=16 d=1.379 t=4021
si da shi dai 	四达时代	c=4 d=0.264027 t=4346
si ji 	四级	c=4 d=1.00824 t=3325
si ji kao shi 	四级考试	c=1 d=1 t=2110
si le 	死了	c=1 d=0.367879 t=4346
si mi 	私密	c=4 d=2.72445 t=1523
si qiang 	四强	c=1 d=1 t=3320
si si 	丝丝	c=1 d=1 t=3519
si ye cao 	四叶草	c=2 d=1.00919 t=2284
si yuan 	思源	c=1 d=1 t=2109
song 	送	c=13 d=0.301581 t=4346
sou gou 	搜狗	c=2 d=1.75957 t=1020
sou suo 	搜索	c=2 d=1.76338 t=1022
su 	素	c=2 d=0.269805 t=4346
su du 	速度	c=2 d=1.06555 t=3109
su du 	速读	c=2 d=1.96561 t=3733
su fu 	素服	c=3 d=0.111917 t=4346
su qing 	素晴	c=2 d=0.737123 t=4346
su xiao 	速效	c=1 d=1 t=1362
suan 	算	c=5 d=0.163654 t=4346
suan fa 	算法	c=3 d=1.00425 t=2115
suan le 	算了	c=2 d=0.366045 t=4346
suan nai 	酸奶	c=1 d=1 t=2456
sui bian 	随便	c=5 d=0.400517 t=4346
sui ji 	随机	c=3 d=2.95556 t=3813
sui yi 	随意	c=1 d=1 t=2762
sun hai 	损害	c=1 d=1 t=3216
suo yi 	所以	c=4 d=1.00064 t=3235
suo you 	所有	c=1 d=1 t=3759
ta 	他	c=8 d=0.320773 t=4346
ta 	塔	c=1 d=0.215456 t=4346
ta men 	他们	c=1 d=1 t=3031
ta pi 	塔皮	c=1 d=1 t=595
tai 	太	c=13 d=1.02387 t=4346
tai duan 	太短	c=1 d=1 t=2757
tai lei le 	太累了	c=1 d=0.136695 t=4346
tai zi ye 	太子爷	c=1 d=1 t=3355
tao can 	套餐	c=1 d=1 t=3104
te 	特	c=0 d=0.1 t=2813
te si la 	特斯拉	c=1 d=1 t=3829
te yi 	特意	c=1 d=1 t=3664
teng xun 	腾讯	c=3 d=1.0002 t=4214
ti ji 	体积	c=2 d=1.99501 t=1039
ti sheng 	提升	c=1 d=1 t=2276
ti xian 	提现	c=1 d=1 t=3897
ti xing 	体型	c=1 d=1 t=1034
tian 	天	c=3 d=2.78123 t=3117
tian jia 	添加	c=1 d=1 t=4131
tian jiang zhi wu 	天降之物	c=3 d=2.98506 t=3263
tian shi 	天使	c=1 d=1 t=1492
tian tian 	天天	c=2 d=0.937067 t=4346
tian xuan 	天选	c=1 d=0.423162 t=4346
tian yuan 	田园	c=1 d=0.489192 t=4346
tiao 	条	c=2 d=0.447088 t=4346
tiao 	跳	c=4 d=3.41274 t=1696
tiao cao 	跳槽	c=1 d=1 t=4346
ting 	停	c=1 d=1 t=1262
ting 	听	c=1 d=1 t=3276
ting 	挺	c=1 d=1 t=2057
ting dou 	听都	c=0 d=0.1 t=3771
ting dou mei ting guo 	听都没听过	c=1 d=1 t=3772
ting hao 	挺好	c=1 d=0.283654 t=4346
ting hao de 	挺好的	c=1 d=1 t=3180
tong 	同	c=1 d=1 t=2246
tong bu 	同步	c=2 d=1.02732 t=2340
tong guo 	通过	c=0 d=0.1 t=2244
tong guo gong hao 	通过功耗	c=1 d=1 t=2245
tou 	偷	c=1 d=1 t=3650
tou 	头	c=2 d=1.00583 t=2037
tou ming 	透明	c=3 d=2.87472 t=1532
tou tie 	头贴	c=1 d=1 t=3409
tu 	吐	c=1 d=1 t=2131
tu le 	吐了	c=8 d=0.144424 t=4346
tu lian 	突脸	c=1 d=1 t=1095
tu long 	土龙	c=3 d=2.7974 t=2643
tu pian 	图片	c=6 d=1.27336 t=4291
tuan 	团	c=4 d=1.05641 t=2534
tuo dong 	拖动	c=1 d=1 t=4294
tuo zhan 	拓展	c=2 d=1.01083 t=2071
wa 	挖	c=1 d=1 t=3830
wa dao 	挖到	c=1 d=1 t=3882
